dataset,k,sigma,role,n,ADE_base,FDE_base,ADE_dup,FDE_dup,dADE,dFDE,abs_dADE,abs_dFDE,ratio_ADE(%),ratio_FDE(%)
univ,4,0.05,source,947,0.509033,0.952981,0.510955,0.968070,0.001922,0.015088,0.057125,0.126897,11.222207,13.315824
univ,4,0.05,other,23387,0.487850,0.909605,0.494280,0.926811,0.006429,0.017206,0.022104,0.051082,4.530820,5.615882
zara1,0,0.0,all,2253,0.332645,0.520764,0.332645,0.520764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
zara1,0,0.0,source,602,0.330401,0.515215,0.330401,0.515215,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
zara1,0,0.0,other,1651,0.333463,0.522788,0.333463,0.522788,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
zara1,1,0.0,all,2253,0.332645,0.520764,0.382257,0.649861,0.049612,0.129097,0.075630,0.186570,22.736002,35.826195
zara1,1,0.0,source,602,0.330401,0.515215,0.431548,0.754413,0.101147,0.239198,0.131692,0.309313,39.858339,60.035747
zara1,1,0.0,other,1651,0.333463,0.522788,0.364284,0.611739,0.030821,0.088951,0.055188,0.141814,16.550054,27.126589
zara1,1,0.02,all,2253,0.332645,0.520764,0.377362,0.637941,0.044717,0.117176,0.072261,0.181073,21.723138,34.770692
zara1,1,0.02,source,602,0.330401,0.515215,0.388307,0.679279,0.057906,0.164064,0.088955,0.229902,26.923271,44.622527
zara1,1,0.02,other,1651,0.333463,0.522788,0.373371,0.622867,0.039908,0.100080,0.066174,0.163269,19.844437,31.230475
zara1,1,0.05,all,2253,0.332645,0.520764,0.371202,0.626478,0.038557,0.105713,0.065087,0.165724,19.566590,31.823250
zara1,1,0.05,source,602,0.330401,0.515215,0.386068,0.673726,0.055667,0.158511,0.086839,0.224825,26.283030,43.637030
zara1,1,0.05,other,1651,0.333463,0.522788,0.365781,0.609250,0.032318,0.086462,0.057156,0.144174,17.140079,27.578016
zara1,2,0.0,all,2253,0.332645,0.520764,0.424387,0.735135,0.091742,0.214371,0.118387,0.278500,35.589556,53.479163
zara1,2,0.0,source,602,0.330401,0.515215,0.517957,0.921158,0.187556,0.405942,0.219263,0.481983,66.362784,93.549733
zara1,2,0.0,other,1651,0.333463,0.522788,0.390268,0.667307,0.056805,0.144519,0.081604,0.204305,24.471821,39.079964
zara1,2,0.02,all,2253,0.332645,0.520764,0.397160,0.677273,0.064515,0.156509,0.093608,0.224879,28.140571,43.182431
zara1,2,0.02,source,602,0.330401,0.515215,0.415120,0.733196,0.084720,0.217980,0.119933,0.286415,36.299094,55.591408
zara1,2,0.02,other,1651,0.333463,0.522788,0.390611,0.656882,0.057148,0.134094,0.084009,0.202441,25.193064,38.723315
zara1,2,0.05,all,2253,0.332645,0.520764,0.388591,0.661305,0.055946,0.140541,0.083363,0.203176,25.060629,39.014900
zara1,2,0.05,source,602,0.330401,0.515215,0.414205,0.730843,0.083804,0.215628,0.116364,0.279625,35.219088,54.273417
zara1,2,0.05,other,1651,0.333463,0.522788,0.379251,0.635950,0.045788,0.113162,0.071330,0.175300,21.390586,33.531813
zara1,4,0.0,all,2253,0.332645,0.520764,0.479150,0.847108,0.146506,0.326343,0.174149,0.395526,52.352882,75.951077
zara1,4,0.0,source,602,0.330401,0.515215,0.587672,1.059293,0.257271,0.544077,0.291783,0.620685,88.311769,120.471006
zara1,4,0.0,other,1651,0.333463,0.522788,0.439580,0.769739,0.106118,0.246951,0.131257,0.313427,39.361675,59.953019
zara1,4,0.02,all,2253,0.332645,0.520764,0.401594,0.687645,0.068949,0.166881,0.100096,0.239023,30.090900,45.898432
zara1,4,0.02,source,602,0.330401,0.515215,0.416064,0.736865,0.085663,0.221650,0.122092,0.291741,36.952713,56.625131
zara1,4,0.02,other,1651,0.333463,0.522788,0.396318,0.669699,0.062855,0.146911,0.092075,0.219800,27.611869,42.043836
zara1,4,0.05,all,2253,0.332645,0.520764,0.390979,0.668212,0.058334,0.147448,0.087986,0.215294,26.450420,41.341838
zara1,4,0.05,source,602,0.330401,0.515215,0.415416,0.736719,0.085015,0.221503,0.120674,0.290540,36.523608,56.392003
zara1,4,0.05,other,1651,0.333463,0.522788,0.382068,0.643233,0.048606,0.120445,0.076067,0.187857,22.811185,35.933622
zara2,0,0.0,all,5833,0.303127,0.481454,0.303127,0.481454,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
zara2,0,0.0,source,921,0.322381,0.536434,0.322381,0.536434,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
zara2,0,0.0,other,4912,0.299517,0.471145,0.299517,0.471145,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
zara2,1,0.0,all,5833,0.303127,0.481454,0.328929,0.545247,0.025801,0.063793,0.050689,0.121836,16.722007,25.305814
zara2,1,0.0,source,921,0.322381,0.536434,0.362839,0.626963,0.040458,0.090530,0.081769,0.187482,25.364166,34.949677
zara2,1,0.0,other,4912,0.299517,0.471145,0.322570,0.529925,0.023053,0.058780,0.044861,0.109527,14.977909,23.247018
zara2,1,0.02,all,5833,0.303127,0.481454,0.324193,0.537440,0.021066,0.055986,0.047753,0.117421,15.753457,24.388869
zara2,1,0.02,source,921,0.322381,0.536434,0.337672,0.582812,0.015291,0.046379,0.060410,0.145578,18.738593,27.138130
zara2,1,0.02,other,4912,0.299517,0.471145,0.321666,0.528933,0.022148,0.057788,0.045380,0.112142,15.151019,23.801949
zara2,1,0.05,all,5833,0.303127,0.481454,0.323814,0.536592,0.020687,0.055138,0.046728,0.113959,15.415430,23.669763
zara2,1,0.05,source,921,0.322381,0.536434,0.338413,0.583958,0.016033,0.047525,0.059641,0.141234,18.500187,26.328301
zara2,1,0.05,other,4912,0.299517,0.471145,0.321077,0.527711,0.021560,0.056565,0.044307,0.108845,14.792886,23.102212
zara2,2,0.0,all,5833,0.303127,0.481454,0.344231,0.579687,0.041104,0.098233,0.068772,0.163435,22.687353,33.946082
zara2,2,0.0,source,921,0.322381,0.536434,0.396116,0.699513,0.073735,0.163079,0.117983,0.267886,36.597496,49.938259
zara2,2,0.0,other,4912,0.299517,0.471145,0.334503,0.557220,0.034985,0.086074,0.059544,0.143850,19.880108,30.532032
zara2,2,0.02,all,5833,0.303127,0.481454,0.332117,0.556481,0.028990,0.075026,0.057298,0.141030,18.902321,29.292452
zara2,2,0.02,source,921,0.322381,0.536434,0.349319,0.611942,0.026938,0.075508,0.073301,0.176371,22.737333,32.878502
zara2,2,0.02,other,4912,0.299517,0.471145,0.328892,0.546082,0.029375,0.074936,0.054298,0.134403,18.128367,28.526893
zara2,2,0.05,all,5833,0.303127,0.481454,0.330606,0.553561,0.027479,0.072107,0.055320,0.135630,18.249911,28.170821
zara2,2,0.05,source,921,0.322381,0.536434,0.350592,0.613969,0.028211,0.077535,0.072665,0.173418,22.539995,32.328031
zara2,2,0.05,other,4912,0.299517,0.471145,0.326859,0.542235,0.027341,0.071089,0.052068,0.128544,17.384117,27.283329
zara2,4,0.0,all,5833,0.303127,0.481454,0.367930,0.629752,0.064803,0.148298,0.095343,0.220180,31.453208,45.732323
zara2,4,0.0,source,921,0.322381,0.536434,0.428842,0.770670,0.106461,0.234236,0.152408,0.343877,47.275817,64.104312
zara2,4,0.0,other,4912,0.299517,0.471145,0.356510,0.603330,0.056992,0.132185,0.084644,0.196987,28.260002,41.810225
zara2,4,0.02,all,5833,0.303127,0.481454,0.336590,0.567981,0.033463,0.086527,0.063420,0.156798,20.921983,32.567587
zara2,4,0.02,source,921,0.322381,0.536434,0.354790,0.625746,0.032410,0.089312,0.079378,0.191728,24.622572,35.741207
zara2,4,0.02,other,4912,0.299517,0.471145,0.333178,0.557150,0.033661,0.086005,0.060428,0.150249,20.175157,31.890075
zara2,4,0.05,all,5833,0.303127,0.481454,0.333876,0.563300,0.030749,0.081846,0.060890,0.150151,20.087120,31.187078
zara2,4,0.05,source,921,0.322381,0.536434,0.354672,0.625592,0.032291,0.089158,0.079012,0.188172,24.508899,35.078312
zara2,4,0.05,other,4912,0.299517,0.471145,0.329977,0.551620,0.030460,0.080475,0.057492,0.143023,19.194748,30.356368
AVG,0,0.0,all,33654,0.453523,0.759575,0.453523,0.759575,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
AVG,0,0.0,source,2841,0.470479,0.795992,0.470479,0.795992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
AVG,0,0.0,other,30813,0.447534,0.747592,0.447534,0.747592,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
AVG,1,0.0,all,33654,0.453523,0.759575,0.500046,0.839299,0.046523,0.079723,0.092342,0.206335,20.361029,27.164485
AVG,1,0.0,source,2841,0.470479,0.795992,0.532800,0.902049,0.062320,0.106056,0.124884,0.285233,26.544031,35.833604
AVG,1,0.0,other,30813,0.447534,0.747592,0.488628,0.820483,0.041094,0.072892,0.078746,0.170976,17.595574,22.870173
AVG,1,0.02,all,33654,0.453523,0.759575,0.499472,0.842763,0.045949,0.083187,0.094701,0.214317,20.881158,28.215403
AVG,1,0.02,source,2841,0.470479,0.795992,0.507329,0.867866,0.036849,0.071874,0.104090,0.246099,22.124223,30.917262
