dataset,k,sigma,role,n,ADE_base,FDE_base,ADE_dup,FDE_dup,dADE,dFDE,abs_dADE,abs_dFDE,ratio_ADE(%),ratio_FDE(%)
zara2,2,0.0,other,4912,0.138160,0.230501,0.148931,0.259098,0.010771,0.028597,0.022864,0.059967,16.549188,26.016032
zara2,2,0.02,all,5833,0.140963,0.237063,0.152339,0.265512,0.011376,0.028449,0.024528,0.064919,17.400446,27.384797
zara2,2,0.02,source,921,0.155911,0.272056,0.170555,0.299819,0.014645,0.027763,0.033287,0.090543,21.349872,33.280836
zara2,2,0.02,other,4912,0.138160,0.230501,0.148923,0.259079,0.010763,0.028578,0.022886,0.060115,16.564788,26.079988
zara2,2,0.05,all,5833,0.140963,0.237063,0.152494,0.266149,0.011531,0.029087,0.024986,0.066168,17.725578,27.911563
zara2,2,0.05,source,921,0.155911,0.272056,0.171106,0.302348,0.015195,0.030292,0.034343,0.093138,22.027067,34.234871
zara2,2,0.05,other,4912,0.138160,0.230501,0.149005,0.259362,0.010844,0.028861,0.023232,0.061111,16.815428,26.512199
zara2,4,0.0,all,5833,0.140963,0.237063,0.166369,0.299623,0.025406,0.062560,0.040543,0.105264,28.761680,44.403263
zara2,4,0.0,source,921,0.155911,0.272056,0.183503,0.332213,0.027593,0.060157,0.048133,0.130606,30.872063,48.006922
zara2,4,0.0,other,4912,0.138160,0.230501,0.163156,0.293512,0.024996,0.063011,0.039120,0.100512,28.315145,43.605764
zara2,4,0.02,all,5833,0.140963,0.237063,0.166335,0.299686,0.025372,0.062624,0.040554,0.105355,28.769124,44.441748
zara2,4,0.02,source,921,0.155911,0.272056,0.183547,0.332911,0.027637,0.060855,0.048353,0.131023,31.013385,48.160120
zara2,4,0.02,other,4912,0.138160,0.230501,0.163107,0.293457,0.024947,0.062955,0.039091,0.100542,28.294261,43.618863
zara2,4,0.05,all,5833,0.140963,0.237063,0.166487,0.300476,0.025524,0.063413,0.040848,0.106420,28.977882,44.891258
zara2,4,0.05,source,921,0.155911,0.272056,0.184125,0.335820,0.028214,0.063764,0.049109,0.133393,31.498128,49.031421
zara2,4,0.05,other,4912,0.138160,0.230501,0.163180,0.293848,0.025020,0.063347,0.039299,0.101363,28.444624,43.975029
AVG,0,0.0,all,33654,0.233975,0.402613,0.233975,0.402613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
AVG,0,0.0,source,2841,0.239921,0.405152,0.239921,0.405152,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
AVG,0,0.0,other,30813,0.231890,0.405341,0.231890,0.405341,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
AVG,1,0.0,all,33654,0.233975,0.402613,0.240273,0.420219,0.006298,0.017606,0.020771,0.055588,8.877523,13.806834
AVG,1,0.0,source,2841,0.239921,0.405152,0.246489,0.427063,0.006568,0.021910,0.025800,0.066537,10.753719,16.422797
AVG,1,0.0,other,30813,0.231890,0.405341,0.238279,0.420245,0.006389,0.014904,0.019450,0.053087,8.387570,13.096874
AVG,1,0.02,all,33654,0.233975,0.402613,0.240407,0.420837,0.006432,0.018223,0.021046,0.056298,8.995121,13.983169
AVG,1,0.02,source,2841,0.239921,0.405152,0.246641,0.428053,0.006720,0.022901,0.026099,0.067131,10.878356,16.569348
AVG,1,0.02,other,30813,0.231890,0.405341,0.238441,0.420746,0.006551,0.015405,0.019725,0.053896,8.506310,13.296459
AVG,1,0.05,all,33654,0.233975,0.402613,0.241028,0.422407,0.007053,0.019793,0.022174,0.059106,9.477205,14.680511
AVG,1,0.05,source,2841,0.239921,0.405152,0.247360,0.430569,0.007439,0.025417,0.027489,0.070101,11.457704,17.302402
